Flight_ID,Flight_Number,Airline,Origin,Destination,Aircraft_Type,Arrival_Time,Departure_Time,Turnaround_Minutes,Passengers,Terminal,International,Status
1,EK1000,EK,LAS,CDG,Airbus A320,16-02-2026,16-02-2026,180,62,D,No,On Time
2,BA1001,BA,MIA,LHR,Embraer E190,16-02-2026,16-02-2026,45,87,C,No,On Time
3,BA1002,BA,CDG,NRT,Airbus A350,16-02-2026,16-02-2026,120,186,B,Yes,On Time
4,EK1003,EK,BOS,LHR,Boeing 737,17-02-2026,17-02-2026,120,278,B,No,Delayed
5,BA1004,BA,AMS,DFW,Boeing 737,16-02-2026,16-02-2026,90,286,B,No,Delayed
6,AF1005,AF,SFO,JFK,Embraer E190,16-02-2026,16-02-2026,90,112,C,No,On Time
7,AF1006,AF,SEA,DEL,Airbus A350,16-02-2026,16-02-2026,90,183,C,No,On Time
8,SW1007,SW,JFK,SYD,Airbus A350,16-02-2026,17-02-2026,180,280,C,No,On Time
9,AA1008,AA,JFK,DFW,Airbus A350,16-02-2026,17-02-2026,180,371,B,No,On Time
10,LH1009,LH,DXB,DFW,Boeing 787,16-02-2026,16-02-2026,180,265,D,No,On Time
11,BA1010,BA,CDG,FRA,Airbus A320,17-02-2026,17-02-2026,120,144,C,No,On Time
12,BA1011,BA,BOS,SFO,Airbus A350,16-02-2026,16-02-2026,60,249,C,No,Delayed
13,SQ1012,SQ,JFK,DXB,Airbus A380,16-02-2026,16-02-2026,60,220,D,Yes,Delayed
14,BA1013,BA,BOS,LAS,Boeing 737,16-02-2026,16-02-2026,180,141,C,No,On Time
15,EK1014,EK,JFK,AMS,Boeing 787,17-02-2026,17-02-2026,90,395,B,Yes,Delayed
16,AA1015,AA,BOS,DXB,Boeing 787,16-02-2026,16-02-2026,90,358,A,Yes,On Time
17,SQ1016,SQ,SYD,LHR,Airbus A350,16-02-2026,16-02-2026,90,259,C,No,On Time
18,DL1017,DL,SEA,SYD,Airbus A350,17-02-2026,17-02-2026,45,393,A,No,On Time
19,LH1018,LH,NRT,HKG,Embraer E190,16-02-2026,16-02-2026,120,386,D,No,On Time
20,LH1019,LH,BOS,HKG,Embraer E190,16-02-2026,16-02-2026,180,306,D,Yes,On Time
